OTU	CK-1	CK-2	CK-3	TA-1	TA-2	TA-3	TB-1	TB-2	TB-3	TC-3	TC-2	TC-1	Taxonomy
Otu000001	2127	2781	2082	1964	3096	1280	1800	3534	2056	1956	2044	1982	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
Otu000002	640	694	486	4267	3451	3534	2338	2036	2241	1733	2599	2579	Root;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia;s__
Otu000003	1868	1676	1973	1292	1670	1148	899	1039	1241	852	862	540	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
Otu000004	237	180	222	660	453	419	1252	1511	1522	1616	1933	1177	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas_alba
Otu000005	15	1	3	598	748	1286	75	142	190	2343	2425	2905	Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Polyangiaceae;g__Sorangium;s__Sorangium_cellulosum
Otu000006	157	111	112	425	406	436	1067	1206	1213	1556	2111	1013	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae
Otu000007	821	735	520	603	759	521	816	1379	867	792	829	680	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;g__Altererythrobacter;s__
Otu000008	386	333	238	666	648	627	821	1118	1028	776	772	798	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae
Otu000009	391	337	324	572	682	513	953	1117	795	727	989	735	Root;k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__;s__
Otu000010	548	594	915	549	890	459	475	726	513	723	957	559	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
Otu000011	163	136	127	351	456	345	1092	974	1102	1187	1149	659	Root;k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Pontibacter
Otu000012	567	630	688	542	822	442	513	734	564	685	648	567	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
Otu000013	217	277	193	568	575	604	661	730	555	1024	949	946	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Arenimonas
Otu000014	2	7	26	346	730	441	0	1	6	1014	3808	674	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae
Otu000015	555	535	718	492	792	383	406	517	476	608	534	402	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__
Otu000016	120	106	66	1086	549	571	513	524	499	375	769	1090	Root;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia
Otu000017	590	493	292	275	337	455	732	755	919	283	417	297	Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Marmoricola;s__
Otu000018	291	300	429	339	523	237	566	752	639	589	635	504	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
Otu000019	540	537	554	463	514	464	437	455	525	488	435	378	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__;s__
Otu000020	467	579	596	334	428	502	614	457	876	437	279	213	Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__Geodermatophilaceae;g__Blastococcus
Otu000021	605	612	1188	401	296	415	257	447	338	457	342	189	Root;k__Bacteria;p__Verrucomicrobia;c__OPB35_soil_group;o__;f__;g__;s__
Otu000022	126	82	115	315	324	349	666	714	770	723	848	440	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae
Otu000023	757	683	581	344	480	308	376	522	348	382	306	325	Root;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae;g__;s__
Otu000024	889	589	786	298	387	375	445	428	416	262	255	216	Root;k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__;f__;g__;s__
Otu000025	280	194	186	589	593	826	482	339	543	569	254	297	Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Arthrobacter
Otu000026	344	285	161	396	422	333	441	754	374	364	475	475	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae
Otu000027	671	761	1405	357	283	396	135	223	158	188	160	81	Root;k__Bacteria;p__Verrucomicrobia;c__OPB35_soil_group;o__;f__;g__;s__
Otu000028	344	388	217	282	285	485	459	306	667	368	606	310	Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Aeromicrobium;s__
Otu000029	171	150	202	286	322	291	544	580	698	405	560	378	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter
Otu000030	270	205	327	318	357	305	449	427	603	410	438	428	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Arenimonas
Otu000031	167	155	133	496	538	454	434	388	433	372	492	390	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter
Otu000032	266	407	100	340	439	247	259	550	352	566	395	479	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Devosia;s__
