	sequences per sample	iteration	CK-1	CK-2	CK-3	TA-1	TA-2	TA-3	TB-1	TB-2	TB-3	TC-3	TC-2	TC-1
alpha_rarefaction_10_0.txt	10	0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_1.txt	10	1	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	55.0	23.0
alpha_rarefaction_10_2.txt	10	2	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	55.0
alpha_rarefaction_10_3.txt	10	3	55.0	55.0	55.0	23.0	55.0	23.0	23.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_4.txt	10	4	55.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0
alpha_rarefaction_10_5.txt	10	5	55.0	55.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	23.0	23.0	55.0
alpha_rarefaction_10_6.txt	10	6	55.0	55.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_7.txt	10	7	13.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	55.0
alpha_rarefaction_10_8.txt	10	8	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_9.txt	10	9	55.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_5010_0.txt	5010	0	3110.16494845	3705.12714777	2883.35093168	2514.40234375	2754.21969697	2622.86516854	2927.38521401	2865.88505747	2965.90252708	2789.59471366	2276.87684729	2337.40807175
alpha_rarefaction_5010_1.txt	5010	1	3232.7195572	3462.57446809	2910.99638989	2559.32773109	3013.76229508	2690.48828125	2957.95955882	2770.53076923	2893.22426471	2592.8	2229.34920635	2457.93
alpha_rarefaction_5010_2.txt	5010	2	3241.56569343	3426.01904762	2635.6187291	2739.95238095	2740.2804878	2669.60526316	2906.84758364	2829.13533835	3054.23828125	2773.52054795	2112.03030303	2622.46330275
alpha_rarefaction_5010_3.txt	5010	3	3018.67619048	3184.6637931	3084.43014706	2702.84647303	2647.35555556	2710.50996016	2984.28089888	2746.33779264	3096.87649402	2677.44541485	2385.26256983	2421.52727273
alpha_rarefaction_5010_4.txt	5010	4	3521.52173913	3427.13084112	2727.2804878	2649.00809717	2715.02247191	2745.41732283	2924.40697674	2834.93357934	3107.34444444	2494.18705036	2277.19337017	2408.89565217
alpha_rarefaction_5010_5.txt	5010	5	3103.89735099	3388.71559633	3025.36071429	2742.40963855	2597.72177419	2763.45136187	3071.75	2846.42335766	2867.20955882	2464.61445783	2054.15566038	2591.63551402
alpha_rarefaction_5010_6.txt	5010	6	3204.77852349	3323.23708207	2915.14238411	2825.6728972	2666.6744186	2748.5093633	3091.27380952	3002.275	3052.51190476	2936.98591549	2215.53448276	2321.58369099
alpha_rarefaction_5010_7.txt	5010	7	3180.35231317	3450.28037383	2964.64233577	2669.37704918	2688.2480315	2789.03370787	3109.0	2829.53231939	2979.75	2695.21338912	2299.23350254	2529.01716738
alpha_rarefaction_5010_8.txt	5010	8	3082.57446809	3424.62616822	2873.69642857	2609.0	2810.70886076	2603.5234375	2791.09246575	3129.10810811	2954.59459459	2831.85135135	2099.07246377	2400.24630542
alpha_rarefaction_5010_9.txt	5010	9	3494.25352113	3318.05232558	2880.5	2972.99118943	2495.80534351	2983.79452055	3190.78423237	2909.06569343	2924.7826087	2434.33333333	2413.5	2397.0733945
alpha_rarefaction_10010_0.txt	10010	0	3929.6443418	4664.79334917	3696.79	3543.74285714	3707.55555556	3683.21169916	3608.23214286	3868.456	4011.65633803	3190.66201117	3019.32046332	3094.21428571
alpha_rarefaction_10010_1.txt	10010	1	3924.92272727	4479.01363636	3743.71688312	3264.23978202	3818.44642857	3623.88948787	3868.07692308	3614.17005076	4055.33333333	3484.08	2794.56081081	3305.59090909
alpha_rarefaction_10010_2.txt	10010	2	3952.57109005	4538.08314088	3547.65525672	3246.57103064	3802.29881657	3776.99137931	3798.83333333	3975.53651685	3824.33333333	3314.98382749	2663.26351351	3291.1465798
alpha_rarefaction_10010_3.txt	10010	3	4054.86842105	4423.62355658	3664.73846154	3317.80108992	3600.16076294	3483.33695652	3982.2247191	3733.29133858	3886.04050633	3483.64705882	3044.12890625	3229.44012945
alpha_rarefaction_10010_4.txt	10010	4	3932.45971564	4375.65848214	3473.24113475	3645.56089744	3792.18584071	3584.8974359	3663.00246914	3741.35149864	3782.4025974	3386.19273743	3020.6259542	3227.08
alpha_rarefaction_10010_5.txt	10010	5	4079.23759791	4181.16015625	3613.359375	3592.66369048	3596.10285714	3452.83937824	4153.38135593	3884.15068493	4051.61173184	3335.45639535	2952.54651163	3339.87625418
alpha_rarefaction_10010_6.txt	10010	6	3793.40268456	4310.29106029	3834.9122807	3310.28125	3390.34316354	3584.85294118	3846.50938338	3585.16541353	4092.69642857	3638.81957187	2980.81954887	3245.29896907
alpha_rarefaction_10010_7.txt	10010	7	4115.11568123	4432.09513742	3706.67010309	3293.1212938	3635.63081395	3690.79494382	3804.88888889	3918.55675676	4160.65675676	3506.91930836	2918.03690037	3089.6
alpha_rarefaction_10010_8.txt	10010	8	3882.59016393	4249.13606911	3644.22365039	3440.37982196	3600.69863014	3745.6011236	3864.51657459	3567.66923077	4045.5989011	3230.55068493	2869.28458498	3094.9030303
alpha_rarefaction_10010_9.txt	10010	9	3884.59529412	4465.00461894	3786.16537468	3428.47910864	3613.52941176	3597.77310924	3686.11886305	3856.65648855	3781.4025974	3560.22701149	3140.83703704	3189.61801242
