	sequences per sample	iteration	CK-1	CK-2	CK-3	TA-1	TA-2	TA-3	TB-1	TB-2	TB-3	TC-3	TC-2	TC-1
alpha_rarefaction_10_0.txt	10	0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0
alpha_rarefaction_10_1.txt	10	1	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	9.0	10.0	9.0
alpha_rarefaction_10_2.txt	10	2	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	9.0	10.0
alpha_rarefaction_10_3.txt	10	3	10.0	10.0	10.0	9.0	10.0	9.0	9.0	10.0	10.0	10.0	10.0	10.0
alpha_rarefaction_10_4.txt	10	4	10.0	9.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	9.0	10.0	10.0
alpha_rarefaction_10_5.txt	10	5	10.0	10.0	10.0	9.0	10.0	10.0	10.0	10.0	10.0	9.0	9.0	10.0
alpha_rarefaction_10_6.txt	10	6	10.0	10.0	10.0	10.0	10.0	10.0	9.0	10.0	10.0	10.0	10.0	10.0
alpha_rarefaction_10_7.txt	10	7	8.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	9.0	10.0
alpha_rarefaction_10_8.txt	10	8	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0
alpha_rarefaction_10_9.txt	10	9	10.0	10.0	9.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0
alpha_rarefaction_5010_0.txt	5010	0	1692.0	1827.0	1652.0	1426.0	1507.0	1485.0	1530.0	1535.0	1576.0	1434.0	1225.0	1293.0
alpha_rarefaction_5010_1.txt	5010	1	1666.0	1833.0	1593.0	1398.0	1528.0	1470.0	1565.0	1501.0	1551.0	1388.0	1171.0	1290.0
alpha_rarefaction_5010_2.txt	5010	2	1692.0	1802.0	1556.0	1418.0	1483.0	1495.0	1556.0	1542.0	1564.0	1404.0	1177.0	1358.0
alpha_rarefaction_5010_3.txt	5010	3	1697.0	1809.0	1630.0	1426.0	1496.0	1472.0	1575.0	1565.0	1563.0	1408.0	1196.0	1319.0
alpha_rarefaction_5010_4.txt	5010	4	1737.0	1824.0	1609.0	1441.0	1503.0	1484.0	1539.0	1547.0	1599.0	1443.0	1186.0	1333.0
