	chao1	goods_coverage	observed_species	shannon	simpson
CK-1	5930.98847262	0.962209447638	4285.0	10.2594595478	0.997484622846
CK-2	6017.30982368	0.962109472632	4571.0	10.4423652699	0.997647906194
CK-3	5040.02255639	0.968982754311	3883.0	10.0469094038	0.996885478705
TA-1	5266.36967632	0.96608347913	3699.0	9.64651070884	0.994960071529
TA-2	5573.51492537	0.965408647838	3788.0	9.79107351769	0.995837530245
TA-3	5631.49328859	0.963709072732	3864.0	9.82477879379	0.995882021747
TB-1	5632.232	0.964133966508	3986.0	9.92361984916	0.996598112406
TB-2	5738.02369668	0.962934266433	4002.0	9.92331512106	0.996620876023
TB-3	5805.05084746	0.962609347663	4082.0	9.92825789919	0.996626894264
TC-3	5301.0017094	0.965833541615	3705.0	9.69507694895	0.996271638164
TC-2	4517.72427984	0.970482379405	3084.0	9.11527827054	0.993699545621
TC-1	4753.76534296	0.969207698075	3385.0	9.44493187949	0.995219601748
