Otu	CK-1	CK-2	CK-3	TA-1	TA-2	TA-3	TB-1	TB-2	TB-3	TC-1	TC-2	TC-3
Otu000001	2127	2781	2082	1964	3096	1280	1800	3534	2056	1982	2044	1956
Otu000002	640	694	486	4267	3451	3534	2338	2036	2241	2579	2599	1733
Otu000003	1868	1676	1973	1292	1670	1148	899	1039	1241	540	862	852
Otu000004	237	180	222	660	453	419	1252	1511	1522	1177	1933	1616
Otu000005	15	1	3	598	748	1286	75	142	190	2905	2425	2343
Otu000006	157	111	112	425	406	436	1067	1206	1213	1013	2111	1556
Otu000007	821	735	520	603	759	521	816	1379	867	680	829	792
Otu000008	386	333	238	666	648	627	821	1118	1028	798	772	776
Otu000009	391	337	324	572	682	513	953	1117	795	735	989	727
Otu000010	548	594	915	549	890	459	475	726	513	559	957	723
Otu000011	163	136	127	351	456	345	1092	974	1102	659	1149	1187
Otu000012	567	630	688	542	822	442	513	734	564	567	648	685
Otu000013	217	277	193	568	575	604	661	730	555	946	949	1024
Otu000014	2	7	26	346	730	441	0	1	6	674	3808	1014
Otu000015	555	535	718	492	792	383	406	517	476	402	534	608
Otu000016	120	106	66	1086	549	571	513	524	499	1090	769	375
Otu000017	590	493	292	275	337	455	732	755	919	297	417	283
Otu000018	291	300	429	339	523	237	566	752	639	504	635	589
Otu000019	540	537	554	463	514	464	437	455	525	378	435	488
Otu000020	467	579	596	334	428	502	614	457	876	213	279	437
Otu000021	605	612	1188	401	296	415	257	447	338	189	342	457
Otu000022	126	82	115	315	324	349	666	714	770	440	848	723
Otu000023	757	683	581	344	480	308	376	522	348	325	306	382
Otu000024	889	589	786	298	387	375	445	428	416	216	255	262
Otu000025	280	194	186	589	593	826	482	339	543	297	254	569
Otu000026	344	285	161	396	422	333	441	754	374	475	475	364
Otu000027	671	761	1405	357	283	396	135	223	158	81	160	188
Otu000028	344	388	217	282	285	485	459	306	667	310	606	368
Otu000029	171	150	202	286	322	291	544	580	698	378	560	405
Otu000030	270	205	327	318	357	305	449	427	603	428	438	410
Otu000031	167	155	133	496	538	454	434	388	433	390	492	372
Otu000032	266	407	100	340	439	247	259	550	352	479	395	566
Otu000033	155	108	109	213	254	223	565	500	552	393	554	639
Otu000034	200	223	197	317	475	300	359	415	333	345	460	430
Otu000035	34	88	19	529	315	497	142	207	138	604	539	917
Otu000036	406	270	338	227	266	260	407	412	351	330	367	393
Otu000037	154	114	152	195	165	165	494	465	593	362	592	528
Otu000038	266	310	140	307	268	329	401	372	389	467	352	331
Otu000039	463	423	357	229	317	214	332	445	327	271	206	264
Otu000040	342	350	453	233	329	193	273	395	315	187	365	344
Otu000041	275	325	546	187	169	211	210	403	266	218	364	537
Otu000042	363	398	46	222	338	216	321	966	265	411	46	102
Otu000043	562	374	473	209	269	263	299	333	269	184	190	234
Otu000044	145	282	197	667	575	413	183	262	299	208	204	193
Otu000045	228	219	217	301	328	244	303	416	400	287	341	297
Otu000046	120	370	89	603	534	478	195	83	94	865	28	79
Otu000047	503	490	28	348	629	217	193	412	101	314	153	14
Otu000048	403	324	379	205	228	195	335	316	367	186	217	242
Otu000049	573	375	457	203	228	252	282	229	292	122	135	177
Otu000050	333	234	236	129	141	204	416	282	492	239	246	313
Otu000051	10	16	2	352	237	304	24	34	56	1072	475	672
Otu000052	290	282	388	242	362	174	213	323	222	187	251	271
Otu000053	101	389	43	217	285	352	327	431	355	199	84	405
Otu000054	108	98	77	323	391	216	150	216	184	452	492	385
Otu000055	75	51	89	163	311	198	337	384	324	312	510	293
Otu000056	16	61	24	549	301	310	160	142	173	421	429	459
Otu000057	24	12	4	171	1965	205	28	95	70	333	93	23
Otu000058	346	243	223	149	204	160	290	338	434	206	162	249
Otu000059	90	66	98	117	110	77	342	511	409	350	462	371
Otu000060	216	251	199	189	259	188	189	260	232	233	405	347
Otu000061	23	116	10	799	451	406	88	79	148	285	401	139
Otu000062	95	146	29	969	553	586	44	50	61	176	120	95
Otu000063	294	348	184	188	266	197	263	254	173	154	265	296
Otu000064	393	650	92	274	360	189	136	390	115	182	26	59
Otu000065	399	270	435	147	235	160	284	240	253	102	171	154
Otu000066	165	220	107	144	152	114	246	517	207	305	279	364
Otu000067	144	501	74	217	221	311	259	284	295	110	35	240
Otu000068	111	42	0	345	733	57	50	160	37	723	296	130
Otu000069	190	363	32	190	160	144	204	565	139	141	182	200
Otu000070	67	29	52	313	270	283	151	186	216	189	280	456
Otu000071	53	14	29	451	539	350	100	151	107	243	276	171
Otu000072	164	156	183	147	336	165	162	275	222	243	218	163
Otu000073	222	201	161	139	116	148	270	234	362	173	115	285
Otu000074	150	140	97	232	390	199	211	241	178	214	191	182
Otu000075	25	92	34	126	245	159	120	193	80	525	472	330
Otu000076	10	9	8	316	449	550	80	52	33	329	392	167
Otu000077	156	125	93	117	120	159	365	195	551	140	193	170
Otu000078	23	203	65	441	361	181	62	72	77	384	352	116
Otu000079	127	86	144	91	107	95	211	358	260	212	250	378
Otu000080	348	298	331	122	173	141	194	190	203	72	107	127
Otu000081	0	0	1	92	224	133	0	1	3	241	1293	309
Otu000082	312	250	204	174	176	167	125	177	153	194	127	236
Otu000083	94	51	108	111	130	120	260	274	265	214	301	350
Otu000084	243	246	235	189	232	205	158	157	193	110	127	142
Otu000085	277	242	269	144	161	158	215	191	186	73	126	126
Otu000086	107	91	12	246	209	314	184	69	71	472	212	157
Otu000087	206	230	216	125	156	112	238	181	163	112	172	199
Otu000088	50	215	53	140	172	209	209	264	250	172	46	279
Otu000089	191	224	325	84	195	34	166	321	178	93	85	142
Otu000090	80	314	49	161	205	243	192	233	220	97	33	204
Otu000091	195	210	211	153	188	131	178	203	166	126	117	150
Otu000092	277	250	303	112	137	108	164	154	192	91	95	132
Otu000093	249	177	316	156	173	113	131	127	171	95	158	135
Otu000094	232	174	238	150	197	149	156	182	180	76	126	137
Otu000095	239	197	234	114	168	143	167	166	212	108	103	144
Otu000096	44	27	47	184	227	207	198	169	234	187	228	231
Otu000097	218	270	17	110	128	105	141	526	80	160	118	102
Otu000098	18	20	11	141	185	159	82	143	128	261	461	364
Otu000099	166	219	124	256	316	268	94	166	209	47	58	47
Otu000100	46	59	51	215	222	168	102	139	170	235	277	224
Otu000101	13	6	17	179	316	310	43	30	51	421	314	201
Otu000102	225	218	329	93	160	79	72	188	128	122	124	144
Otu000103	1	5	4	157	324	100	4	5	13	917	130	219
Otu000104	53	50	42	70	95	23	149	299	98	245	352	382
Otu000105	134	112	174	150	162	167	148	121	129	121	229	185
Otu000106	40	78	32	115	156	103	104	151	139	219	273	378
Otu000107	112	62	50	128	68	80	183	207	179	284	211	203
Otu000108	7	9	9	97	321	204	19	11	18	570	240	211
Otu000109	31	26	11	141	125	91	81	214	190	264	342	199
Otu000110	52	29	25	180	163	157	164	159	153	214	226	173
Otu000111	127	149	258	133	111	158	84	163	89	125	138	151
Otu000112	251	185	217	100	127	65	126	170	115	84	121	121
Otu000113	189	141	250	126	119	128	107	111	133	84	137	134
Otu000114	8	10	8	35	45	23	160	210	192	332	281	347
Otu000115	27	43	0	162	76	100	18	74	20	504	343	258
Otu000116	228	200	214	108	123	102	115	141	89	99	90	107
Otu000117	34	26	17	126	153	110	175	120	141	140	266	302
Otu000118	177	166	172	100	160	133	147	126	108	102	113	103
Otu000119	285	175	183	64	90	93	162	158	207	74	46	57
Otu000120	164	134	216	98	164	124	139	149	152	89	58	94
Otu000121	81	56	210	70	57	69	124	161	119	126	220	280
Otu000122	29	29	50	301	281	216	65	68	120	201	136	74
Otu000123	186	216	221	92	131	109	112	128	117	83	75	100
Otu000124	51	48	81	70	94	67	111	198	169	190	258	233
Otu000125	138	103	82	79	143	153	175	181	188	118	94	115
Otu000126	45	30	47	176	140	114	79	67	80	215	248	321
Otu000127	103	68	64	107	124	91	132	146	197	229	134	166
Otu000128	144	135	111	83	132	110	184	149	188	115	84	121
Otu000129	27	17	20	434	390	230	11	7	30	183	155	45
Otu000130	113	122	154	73	107	40	136	255	120	125	136	167
Otu000131	155	188	265	68	50	69	106	169	122	77	104	143
Otu000132	188	142	204	106	96	97	121	114	143	83	86	119
Otu000133	66	72	12	26	48	28	171	408	208	163	119	178
Otu000134	17	73	20	100	153	167	25	32	41	517	306	19
Otu000135	164	187	406	153	139	131	32	70	43	40	50	53
Otu000136	115	229	111	58	129	116	115	118	196	77	81	103
Otu000137	326	362	26	94	113	137	47	184	51	77	5	25
Otu000138	45	31	28	313	348	237	55	33	50	127	100	68
Otu000139	168	178	300	97	95	98	80	108	77	53	67	107
Otu000140	60	47	77	28	25	21	188	231	293	97	192	160
Otu000141	100	136	171	68	131	32	141	236	111	106	69	105
Otu000142	69	65	78	103	118	114	145	190	200	105	123	92
Otu000143	128	105	141	71	102	72	170	164	136	79	106	126
Otu000144	191	141	137	86	115	48	126	121	160	92	67	115
Otu000145	69	49	43	97	131	83	172	154	181	93	161	151
Otu000146	171	134	169	124	103	131	110	112	112	65	64	89
Otu000147	206	85	160	71	100	83	131	121	171	82	75	90
Otu000148	218	210	18	104	90	91	110	339	87	77	8	21
Otu000149	162	166	184	90	85	80	111	112	174	42	67	90
Otu000150	205	121	202	79	104	80	86	105	117	66	89	109
Otu000151	87	51	80	90	145	94	161	159	139	110	95	137
Otu000152	143	132	176	72	84	86	141	111	189	56	65	89
Otu000153	5	6	9	217	113	128	23	8	40	329	195	252
Otu000154	85	59	112	92	118	93	132	146	212	121	94	60
Otu000155	152	141	121	56	54	84	148	117	155	68	92	135
Otu000156	16	36	19	60	44	59	103	199	154	132	142	357
Otu000157	26	24	25	113	118	160	117	90	125	124	161	236
Otu000158	130	110	9	69	82	103	140	255	169	120	47	82
Otu000159	212	234	24	82	142	100	89	142	95	115	38	37
Otu000160	157	125	140	89	96	93	105	187	104	88	49	74
Otu000161	212	144	240	71	64	84	108	101	92	46	62	81
Otu000162	60	34	102	60	83	53	145	171	142	100	169	181
Otu000163	186	150	195	83	92	72	110	95	93	68	75	79
Otu000164	231	166	191	118	144	67	57	58	57	69	57	62
Otu000165	125	61	136	65	69	87	144	149	139	79	99	120
Otu000166	20	27	24	43	84	48	126	167	155	168	233	155
Otu000167	26	49	17	23	23	26	221	217	176	108	164	197
Otu000168	12	40	25	123	67	91	163	228	313	68	94	21
Otu000169	178	161	144	122	152	59	52	85	55	91	58	86
Otu000170	33	36	25	43	54	37	150	218	167	138	178	160
Otu000171	56	42	51	55	58	100	200	112	235	92	98	139
Otu000172	192	144	172	166	151	122	58	56	69	28	38	40
Otu000173	73	83	88	80	108	111	112	99	144	100	145	78
Otu000174	191	171	190	53	82	80	106	86	89	39	60	72
Otu000175	109	93	208	54	48	74	87	132	115	65	88	145
Otu000176	66	68	55	97	145	105	75	85	67	150	207	98
Otu000177	128	146	23	55	84	68	106	410	82	76	5	26
